Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 86.0.4240.111,,,2020-10-24 16:16:42,2020-10-24 16:17:21,39.599s,ERROR
,,,,,,,
Test Cases/Tc1,Chrome 86.0.4240.111,,,2020-10-24 16:16:42,2020-10-24 16:16:59,17.003s,PASSED
"openBrowser("""")",Chrome 86.0.4240.111,,,2020-10-24 16:16:44,2020-10-24 16:16:52,7.687s,PASSED
navigateToUrl(Url),Chrome 86.0.4240.111,,,2020-10-24 16:16:52,2020-10-24 16:16:53,1.483s,PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/a_ng nhp""))",Chrome 86.0.4240.111,,,2020-10-24 16:16:53,2020-10-24 16:16:54,0.589s,PASSED
"setText(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_Tn ng nhp_ctl00ContentPlaceHolder1ctl_537cb7""), User)",Chrome 86.0.4240.111,,,2020-10-24 16:16:54,2020-10-24 16:16:56,1.693s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_Mt m_ctl00ContentPlaceHolder1ctl00ctl_4544f5""), Password)",Chrome 86.0.4240.111,,,2020-10-24 16:16:56,2020-10-24 16:16:56,0.804s,PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_S lng truy cp _ctl00ContentPlaceHolde_c71575""))",Chrome 86.0.4240.111,,,2020-10-24 16:16:56,2020-10-24 16:16:57,0.916s,PASSED
"waitForElementPresent(findTestObject(""Page_UP Portal  HoChiMinh University of Pedagogy/a_ng Thot""), 10)",Chrome 86.0.4240.111,,,2020-10-24 16:16:57,2020-10-24 16:16:58,0.435s,PASSED
closeBrowser(),Chrome 86.0.4240.111,,,2020-10-24 16:16:58,2020-10-24 16:16:59,1.671s,PASSED
,,,,,,,
Test Cases/Tc2,Chrome 86.0.4240.111,,,2020-10-24 16:16:59,2020-10-24 16:17:21,21.996s,ERROR
"openBrowser("""")",Chrome 86.0.4240.111,,,2020-10-24 16:17:00,2020-10-24 16:17:04,4.122s,PASSED
navigateToUrl(Url),Chrome 86.0.4240.111,,,2020-10-24 16:17:04,2020-10-24 16:17:06,1.751s,PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/a_ng nhp""))",Chrome 86.0.4240.111,,,2020-10-24 16:17:06,2020-10-24 16:17:07,0.856s,PASSED
"setText(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_Tn ng nhp_ctl00ContentPlaceHolder1ctl_537cb7""), User)",Chrome 86.0.4240.111,,,2020-10-24 16:17:07,2020-10-24 16:17:08,1.205s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_Mt m_ctl00ContentPlaceHolder1ctl00ctl_4544f5""), Pass)",Chrome 86.0.4240.111,,,2020-10-24 16:17:08,2020-10-24 16:17:09,0.587s,PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_S lng truy cp _ctl00ContentPlaceHolde_c71575""))",Chrome 86.0.4240.111,,,2020-10-24 16:17:09,2020-10-24 16:17:10,1.216s,PASSED
"waitForElementPresent(findTestObject(""Page_UP Portal  HoChiMinh University of Pedagogy/td_Mt m truy cp khng chnh xc""), 10)",Chrome 86.0.4240.111,,,2020-10-24 16:17:10,2020-10-24 16:17:21,11.234s,PASSED
"verifyElementText(findTestObject(null), ""Mật mã truy cập không chính xác"")",Chrome 86.0.4240.111,,,2020-10-24 16:17:21,2020-10-24 16:17:21,0.045s,PASSED
